job_id,searched_role,job_title,company,location,category,job_type,posted_date,description,redirect_url
5797434640,Data Engineer,Senior Data Engineer,ABB,"Bangalore, Karnataka",IT Jobs,full_time,2026-07-12T06:10:25Z,"This job is with ABB, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At ABB, we help industries run leaner and cleaner—and every person here makes that happen. You’ll be empowered to lead, supported to grow, and proud of the impact we create together. Join us and help run what runs the world. This Position reports to: ELSE Global Sustainability Business Proc Your role and responsibilitie…",https://www.adzuna.in/details/5797434640?utm_medium=api&utm_source=37cd346e
5790410642,Data Engineer,IT Platform Lead - Data Engineering,Kyndryl,"Bangalore, Karnataka",IT Jobs,full_time,2026-07-07T05:28:45Z,"This job is with Kyndryl, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Who We Are At Kyndryl, we run and reimagine the mission-critical technology systems that drive advantage for the world's leading businesses. We are at the heart of progress; with proven expertise and a continuous flow of AI-powered insight, enabling smarter decisions, faster innovation, and a lasting competitive edg…",https://www.adzuna.in/details/5790410642?utm_medium=api&utm_source=37cd346e
5790410259,Data Engineer,IT&D Data Engineering Senior Manager,Reckitt,"Hyderabad, Telangana",IT Jobs,full_time,2026-07-07T05:28:21Z,"This job is with Reckitt, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. We are Reckitt Home to the world's best loved and trusted hygiene, health, and nutrition brands. Our purpose defines why we exist: to protect, heal and nurture in the relentless pursuit of a cleaner, healthier world. We are a global team united by this purpose. Join us in our fight to make access to the highest qual…",https://www.adzuna.in/details/5790410259?utm_medium=api&utm_source=37cd346e
5771700385,Data Engineer,Data Loss Prevention Engineer,Cherry Bekaert,"Chennai, Tamil Nadu",IT Jobs,,2026-06-21T17:10:05Z,"About the Role Cherry Bekaert is looking for a Data Loss Prevention (DLP) Engineer to help build and strengthen its enterprise data protection program. In this role, you’ll design, implement, and optimize DLP controls across Microsoft Purview, cloud platforms, and network/email security tools—ensuring sensitive data is protected and aligned with regulatory and security standards. What You’ll Do DLP Strategy & Implementation Design and manage DLP policies across Microsoft 365 (Exchange, SharePoi…",https://www.adzuna.in/land/ad/5771700385?se=ZCoyNJh_8RGyL6cIuP5hKg&utm_medium=api&utm_source=37cd346e&v=33A61BDE01A635157937200CC588A7998A1E6F10
5794768640,Data Engineer,"Principal Engineer - Data Services, VP",Deutsche Bank,"Bangalore, Karnataka",IT Jobs,full_time,2026-07-10T03:46:52Z,"This job is with Deutsche Bank, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Position Overview Role Description DWS’s data infrastructure team provides the secure, scalable, and trusted foundation for storing, processing, and distributing critical enterprise data across the organization. As Principal Engineer for Data Services, you will shape the technical strategy for a portfolio of d…",https://www.adzuna.in/details/5794768640?utm_medium=api&utm_source=37cd346e
5785771026,Data Engineer,Senior Snowflake Data & AI Platform Engineer,Avaloq,"Pune, Maharashtra",IT Jobs,full_time,2026-07-03T00:54:13Z,"This job is with Avaloq, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Company Description Founded and headquartered in Switzerland, Avaloq is continuously expanding its global footprint with around 2,500 colleagues in 12 countries, and more than 170 clients in 35 countries. We are an industry-leading provider of wealth management technology and services for financial institutions aroun…",https://www.adzuna.in/details/5785771026?utm_medium=api&utm_source=37cd346e
5785772428,Data Engineer,"MTS 1, Software Engineer, Data Platforms",eBay,"Bangalore, Karnataka",IT Jobs,full_time,2026-07-03T00:54:25Z,"This job is with eBay, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. At eBay, we're more than a global ecommerce leader - we're changing the way the world shops and sells. Our platform empowers millions of buyers and sellers in more than 190 markets around the world. We're committed to pushing boundaries and leaving our mark as we reinvent the future of ecommerce for enthusiasts. Our cu…",https://www.adzuna.in/details/5785772428?utm_medium=api&utm_source=37cd346e
5785771257,Data Engineer,"Technical Lead, Software Engineering, Data Context Layer",MSD,"Hyderabad, Telangana",IT Jobs,full_time,2026-07-03T00:54:14Z,"This job is with MSD, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Job Description R400875 Technical Lead, Software Engineering, Data Context Layer Based in Hyderabad, join a global healthcare biopharma company and be part of a 130- year legacy of success backed by ethical integrity, forward momentum, and an inspiring mission to achieve new milestones in global healthcare. • Be part of…",https://www.adzuna.in/details/5785771257?utm_medium=api&utm_source=37cd346e
5753863584,Data Engineer,Electric Wiring Harness (EWH) Engineer - Data Librarian,Cableteque,India,Engineering Jobs,full_time,2026-06-06T07:45:16Z,"Cableteque comprises an international team with expertise in wire interconnects, CAD deployments, data exchange protocols, and AI. Our team is located worldwide, including the US, India, & Europe. This allows us to assemble diverse perspectives, comprehensive knowledge, and specialized know-how to deliver the best software products and services to our clients. We are looking for an Electrical Wire Harness (EWH) Engineer to create, build, and maintain a highly detailed electrical/interconnect pa…",https://www.adzuna.in/land/ad/5753863584?se=ZCoyNJh_8RGyL6cIuP5hKg&utm_medium=api&utm_source=37cd346e&v=9A77D88FE3BA09C5143908F3F718F20196D5DF78
5790410230,Data Engineer,"Sr. Staff Software Development Engineer, Data Collection",Morningstar,"Mumbai, Maharashtra",IT Jobs,full_time,2026-07-07T05:28:20Z,"This job is with Morningstar, an inclusive employer and a member of myGwork – the largest global platform for the LGBTQ business community. Please do not contact the recruiter directly. Role: Senior Staff Software Development Engineer Location: Vashi, Navi Mumbai (4 days working from office) As a Senior Staff Software Development Engineer within the Product organization, you will be responsible for solving most complex and challenging technical problems, and unlock delivery of value for service…",https://www.adzuna.in/details/5790410230?utm_medium=api&utm_source=37cd346e
